employee_id,is_promoted
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,0
13,0
14,0
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,1
28,0
29,1
30,1
31,1
32,1
33,1
34,0
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,0
43,0
44,0
45,1
46,0
47,1
48,1
49,0
50,0
51,1
52,0
53,0
54,0
55,1
56,0
57,0
58,0
59,0
60,0
61,0
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,0
70,0
71,1
72,0
73,1
74,1
75,0
76,0
77,1
78,0
79,1
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,1
94,0
95,0
96,1
97,0
98,0
99,0
100,0
101,1
102,0
103,0
104,0
105,0
106,1
107,0
108,1
109,1
110,0
111,1
112,0
113,0
114,1
115,0
116,1
117,0
118,0
119,0
120,1
121,0
122,0
123,1
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,1
133,0
134,1
135,1
136,0
137,1
138,0
139,0
140,0
141,1
142,0
143,0
144,0
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,0
159,1
160,0
161,0
162,0
163,1
164,1
165,0
166,0
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,0
178,1
179,1
180,1
181,0
182,0
183,1
184,0
185,0
186,1
187,0
188,1
189,1
190,0
191,1
192,1
193,0
194,0
195,0
196,1
197,0
198,0
199,1
200,1
201,0
202,1
203,0
204,1
205,1
206,0
207,1
208,1
209,0
210,0
211,1
212,0
213,0
214,1
215,1
216,1
217,1
218,0
219,0
220,0
221,0
222,0
223,1
224,1
225,0
226,1
227,1
228,0
229,0
230,0
231,0
232,0
233,1
234,1
235,0
236,1
237,1
238,1
239,0
240,1
241,0
242,1
243,0
244,1
245,0
246,0
247,0
248,1
249,1
250,0
251,0
252,0
253,1
254,1
255,0
256,1
257,1
258,1
259,0
260,0
261,1
262,1
263,0
264,1
265,1
266,1
267,0
268,0
269,1
270,1
271,0
272,1
273,0
274,1
275,0
276,0
277,0
278,0
279,1
280,0
281,0
282,0
283,1
284,1
285,1
286,0
287,0
288,0
289,1
290,0
291,1
292,1
293,0
294,0
295,0
296,1
297,1
298,1
299,0
300,1
301,0
302,0
303,0
304,1
305,1
306,1
307,0
308,0
309,0
310,1
311,0
312,0
313,0
314,1
315,0
316,1
317,1
318,1
319,1
320,1
321,1
322,0
323,1
324,0
325,0
326,1
327,0
328,1
329,1
330,1
331,1
332,0
333,0
334,0
335,0
336,1
337,1
338,1
339,0
340,1
341,0
342,1
343,0
344,0
345,0
346,0
347,0
348,1
349,1
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,1
360,0
361,1
362,0
363,1
364,0
365,0
366,1
367,1
368,0
369,1
370,0
371,0
372,0
373,0
374,1
375,1
376,1
377,1
378,1
379,1
380,0
381,1
382,0
383,0
384,1
385,1
386,1
387,0
388,1
389,0
390,0
391,1
392,0
393,0
394,1
395,0
396,1
397,1
398,0
399,0
400,0
401,1
402,1
403,0
404,0
405,1
406,1
407,0
408,0
409,0
410,1
411,0
412,1
413,1
414,1
415,1
416,1
417,0
418,1
419,1
420,0
421,0
422,1
423,1
424,0
425,1
426,1
427,0
428,0
429,0
430,1
431,0
432,0
433,1
434,0
435,1
436,1
437,0
438,1
439,1
440,1
441,1
442,0
443,1
444,0
445,0
446,1
447,0
448,1
449,0
450,1
451,1
452,1
453,1
454,0
455,0
456,0
457,0
458,0
459,1
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,1
470,0
471,1
472,0
473,0
474,0
475,1
476,0
477,0
478,0
479,1
480,0
481,0
482,0
483,0
484,1
485,1
486,1
487,0
488,0
489,0
490,0
491,1
492,0
493,0
494,0
495,0
496,1
497,1
498,0
499,1
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,1
513,0
514,0
515,0
516,1
517,0
518,0
519,0
520,1
521,0
522,0
523,1
524,0
525,0
526,1
527,0
528,0
529,0
530,0
531,1
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,1
544,0
545,0
546,0
547,0
548,1
549,0
550,1
551,0
552,0
553,0
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,0
563,1
564,1
565,1
566,0
567,0
568,0
569,1
570,0
571,0
572,0
573,1
574,0
575,1
576,0
577,1
578,1
579,0
580,0
581,0
582,1
583,1
584,0
585,0
586,0
587,1
588,1
589,0
590,1
591,1
592,1
593,0
594,1
595,0
596,1
597,1
598,1
599,1
600,1
